source,output,grade,source_grade,side,split,method,score,inner_method,inner_score,x,y,width,height
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524451_257.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524451_257.jpg,10,10,back,train,edges_ratio,0.600925,,,66,365,752,1053
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524457_289.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524457_289.jpg,10,10,back,train,edges_ratio,0.612026,,,68,362,756,1058
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524459_299.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524459_299.jpg,10,10,back,train,edges_ratio,0.577860,,,70,406,788,1103
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524462_313.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524462_313.jpg,10,10,back,test,edges_ratio,0.615122,,,60,415,814,1140
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524463_315.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524463_315.jpg,10,10,back,train,edges_ratio,0.616663,,,62,360,757,1060
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524464_317.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524464_317.jpg,10,10,back,train,edges_ratio,0.578384,,,55,429,792,1109
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524464_319.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524464_319.jpg,10,10,back,train,edges_ratio,0.603055,,,76,427,805,1127
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524467_331.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524467_331.jpg,10,10,back,val,edges_ratio,0.606317,,,67,364,752,1053
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524468_335.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524468_335.jpg,10,10,back,train,saturation_ratio,0.558783,,,81,411,776,1086
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524469_341.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524469_341.jpg,10,10,back,train,edges_ratio,0.571812,,,73,433,785,1099
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524470_345.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524470_345.jpg,10,10,back,val,saturation_ratio,0.572805,,,79,404,784,1098
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524471_347.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524471_347.jpg,10,10,back,train,edges_ratio,0.560749,,,83,442,776,1086
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524471_349.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524471_349.jpg,10,10,back,test,saturation_ratio,0.556718,,,93,404,774,1083
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524474_359.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524474_359.jpg,10,10,back,train,edges_ratio,0.553983,,,124,424,774,1084
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524475_367.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524475_367.jpg,10,10,back,train,edges_ratio,0.615917,,,63,356,758,1061
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524478_381.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524478_381.jpg,10,10,back,train,edges_ratio,0.435127,,,132,469,686,960
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524480_397.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524480_397.jpg,10,10,back,train,edges_ratio,0.608824,,,67,363,754,1055
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524481_403.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524481_403.jpg,10,10,back,train,edges_ratio,0.612593,,,63,362,756,1058
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524483_413.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524483_413.jpg,10,10,back,val,edges_ratio,0.531318,,,99,417,759,1063
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524484_417.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524484_417.jpg,10,10,back,train,edges_ratio,0.470985,,,149,413,717,1004
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524485_423.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524485_423.jpg,10,10,back,train,saturation_ratio,0.579445,,,61,395,789,1105
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524485_425.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524485_425.jpg,10,10,back,train,edges_ratio,0.434011,,,129,459,686,960
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524486_429.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524486_429.jpg,10,10,back,test,edges_ratio,0.433426,,,128,474,686,960
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524487_431.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524487_431.jpg,10,10,back,train,edges_ratio,0.435530,,,127,483,684,957
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524487_433.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524487_433.jpg,10,10,back,train,edges_ratio,0.611403,,,59,359,759,1063
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524487_435.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524487_435.jpg,10,10,back,train,edges_ratio,0.601721,,,70,368,753,1054
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524488_437.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524488_437.jpg,10,10,back,train,edges_ratio,0.543631,,,64,432,765,1071
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524489_447.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524489_447.jpg,10,10,back,train,edges_ratio,0.605339,,,67,365,755,1057
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524491_453.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524491_453.jpg,10,10,back,train,edges_ratio,0.434226,,,119,484,683,956
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524491_455.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524491_455.jpg,10,10,back,val,edges_ratio,0.542664,,,80,405,766,1072
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524492_459.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524492_459.jpg,10,10,back,train,edges_ratio,0.461278,,,144,411,708,991
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524494_473.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524494_473.jpg,10,10,back,val,edges_ratio,0.561845,,,80,397,778,1089
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524497_491.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524497_491.jpg,10,10,back,train,edges_ratio,0.574659,,,84,398,787,1102
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524502_513.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524502_513.jpg,10,10,back,train,edges_ratio,0.434869,,,125,482,683,956
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524502_517.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524502_517.jpg,10,10,back,test,saturation_ratio,0.601575,,,52,416,804,1126
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524505_525.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524505_525.jpg,10,10,back,test,edges_ratio,0.536249,,,89,419,762,1067
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524507_537.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524507_537.jpg,10,10,back,train,edges_ratio,0.608366,,,62,360,757,1060
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524510_549.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524510_549.jpg,10,10,back,val,edges_ratio,0.605045,,,73,399,809,1133
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524510_551.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524510_551.jpg,10,10,back,train,edges_ratio,0.507930,,,89,430,744,1041
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524511_553.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524511_553.jpg,10,10,back,val,edges_ratio,0.543174,,,75,439,769,1077
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524512_559.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524512_559.jpg,10,10,back,train,edges_ratio,0.608609,,,69,356,755,1057
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524513_565.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524513_565.jpg,10,10,back,val,edges_ratio,0.478448,,,88,415,721,1009
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524514_569.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524514_569.jpg,10,10,back,train,edges_ratio,0.523035,,,113,427,753,1054
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524518_591.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524518_591.jpg,10,10,back,val,saturation_ratio,0.525307,,,84,440,751,1052
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524519_599.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524519_599.jpg,10,10,back,train,edges_ratio,0.609476,,,67,361,754,1056
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524522_611.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524522_611.jpg,10,10,back,train,edges_ratio,0.594427,,,31,388,804,1126
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524523_613.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524523_613.jpg,10,10,back,train,edges_ratio,0.615093,,,81,413,814,1139
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524523_615.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524523_615.jpg,10,10,back,train,fallback,0.000000,,,95,432,756,1058
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524525_623.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524525_623.jpg,10,10,back,train,edges_ratio,0.560004,,,87,404,779,1091
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524526_629.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524526_629.jpg,10,10,back,val,edges_ratio,0.533686,,,97,418,763,1068
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524529_643.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524529_643.jpg,10,10,back,train,edges_ratio,0.432635,,,125,461,684,958
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524531_649.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524531_649.jpg,10,10,back,test,edges_ratio,0.427589,,,128,469,680,952
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524532_655.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524532_655.jpg,10,10,back,train,edges_ratio,0.603988,,,69,357,752,1053
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524533_659.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524533_659.jpg,10,10,back,train,edges_ratio,0.536386,,,43,478,766,1072
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524535_671.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524535_671.jpg,10,10,back,train,saturation_ratio,0.609242,,,32,408,814,1139
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524536_677.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524536_677.jpg,10,10,back,train,edges_ratio,0.547040,,,89,497,769,1077
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524536_681.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524536_681.jpg,10,10,back,train,edges_ratio,0.581118,,,80,422,790,1106
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524539_691.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524539_691.jpg,10,10,back,test,edges_ratio,0.485369,,,59,404,725,1015
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524539_695.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524539_695.jpg,10,10,back,train,saturation_ratio,0.560856,,,75,419,776,1086
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524542_707.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524542_707.jpg,10,10,back,train,edges_ratio,0.601605,,,57,363,751,1052
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524545_725.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524545_725.jpg,10,10,back,train,edges_ratio,0.422758,,,133,477,674,943
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524547_731.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524547_731.jpg,10,10,back,train,edges_ratio,0.615615,,,49,361,760,1064
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524549_743.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524549_743.jpg,10,10,back,train,edges_ratio,0.610055,,,58,360,756,1059
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524551_759.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524551_759.jpg,10,10,back,train,edges_ratio,0.612522,,,53,369,758,1061
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524556_783.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524556_783.jpg,10,10,back,train,saturation_ratio,0.573127,,,76,407,784,1098
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524558_791.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524558_791.jpg,10,10,back,train,edges_ratio,0.590967,,,42,442,798,1117
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524559_797.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524559_797.jpg,10,10,back,val,fallback,0.000000,,,94,432,756,1058
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524560_801.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524560_801.jpg,10,10,back,test,edges_ratio,0.577183,,,111,392,792,1109
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524564_821.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524564_821.jpg,10,10,back,val,edges_ratio,0.606900,,,60,367,754,1056
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524566_833.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524566_833.jpg,10,10,back,val,edges_ratio,0.434994,,,132,482,684,957
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524567_841.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524567_841.jpg,10,10,back,train,saturation_ratio,0.560236,,,88,453,777,1088
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524567_843.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524567_843.jpg,10,10,back,train,edges_ratio,0.555653,,,116,425,777,1088
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524568_845.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524568_845.jpg,10,10,back,train,edges_ratio,0.438634,,,121,478,686,961
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524573_873.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524573_873.jpg,10,10,back,train,saturation_ratio,0.590894,,,65,370,744,1042
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524574_879.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524574_879.jpg,10,10,back,train,edges_ratio,0.433968,,,123,471,685,959
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524574_887.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524574_887.jpg,10,10,back,train,saturation_ratio,0.558266,,,80,408,777,1088
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524577_897.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524577_897.jpg,10,10,back,train,edges_ratio,0.535834,,,85,413,707,990
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524577_899.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\test\10\back_img_1778524577_899.jpg,10,10,back,test,fallback,0.000000,,,95,432,758,1061
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524578_903.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524578_903.jpg,10,10,back,train,saturation_ratio,0.580582,,,58,402,790,1106
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524579_909.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524579_909.jpg,10,10,back,train,fallback,0.000000,,,93,434,746,1044
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524583_925.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524583_925.jpg,10,10,back,train,saturation_ratio,0.597791,,,75,411,805,1127
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524590_957.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524590_957.jpg,10,10,back,train,saturation_ratio,0.560148,,,85,413,779,1091
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524590_959.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\val\10\back_img_1778524590_959.jpg,10,10,back,val,edges_ratio,0.436721,,,130,468,688,963
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524592_969.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524592_969.jpg,10,10,back,train,edges_ratio,0.527224,,,112,433,757,1060
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524592_971.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524592_971.jpg,10,10,back,train,fallback,0.000000,,,93,434,746,1044
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524593_975.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524593_975.jpg,10,10,back,train,edges_ratio,0.538581,,,75,434,764,1069
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524593_977.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524593_977.jpg,10,10,back,train,edges_ratio,0.542106,,,91,427,763,1068
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524594_981.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524594_981.jpg,10,10,back,train,saturation_ratio,0.561071,,,77,414,776,1086
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524595_985.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524595_985.jpg,10,10,back,train,saturation_ratio,0.600629,,,60,399,803,1124
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524595_987.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524595_987.jpg,10,10,back,train,saturation_ratio,0.573234,,,74,408,784,1098
C:\Users\L3o36\pokescan\dataset_pokemon\10\back\img_1778524597_995.jpg,C:\Users\L3o36\pokescan\dataset_high_grade\train\10\back_img_1778524597_995.jpg,10,10,back,train,edges_ratio,0.432086,,,141,468,685,959
